geometry,buffered_geometry,longitude,latitude,ndvi,fapar,ndbi,ndwi,ndmi,aerosol,surface_temperature,precipitation_rate,relative_humidity,label
POINT (121.1758063488601 15.62730850867966),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.17580634886008,
                15.627308508679665
              ]
            }
          }
        }
      }
    }
  }
})",121.17580634886008,15.627308508679665,0.2915572166663161,0.05230917874396135,-0.127675125265823,-0.15333417063487126,0.127675125265823,215.19949494949495,29.22148550724637,3.4715026231424417e-07,77.65122985839844,rice
POINT (121.2131967683295 15.44444817806271),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.21319676832945,
                15.444448178062714
              ]
            }
          }
        }
      }
    }
  }
})",121.21319676832945,15.444448178062714,0.32932652742921026,0.08339225181598063,-0.1658206264163726,-0.1569907931949564,0.1658206264163726,202.6015228426396,25.11880145278451,2.1058201582491165e-07,81.10986328125,rice
POINT (120.992570798932 15.53221402054117),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                120.99257079893196,
                15.532214020541167
              ]
            }
          }
        }
      }
    }
  }
})",120.99257079893196,15.532214020541167,0.2462798769136536,0.050837393422655294,-0.08163625691864074,-0.16380411331830674,0.08163625691864074,121.45843828715365,30.207454323995194,7.643978960913955e-08,74.84638977050781,rice
POINT (121.2121313650145 15.4776359413111),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.21213136501453,
                15.477635941311101
              ]
            }
          }
        }
      }
    }
  }
})",121.21213136501453,15.477635941311101,0.35000615378955297,0.08737576126674788,-0.1879456558023265,-0.15287073533800838,0.1879456558023265,207.59394703657003,25.36713763702801,2.1058201582491165e-07,81.10986328125,rice
POINT (121.0133019753719 15.89654201949906),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.0133019753719,
                15.896542019499059
              ]
            }
          }
        }
      }
    }
  }
})",121.0133019753719,15.896542019499059,0.25932585860119134,0.054859830097087385,-0.0753814105933931,-0.19190768148795184,0.0753814105933931,192.47300771208225,27.895873786407776,1.3918129582179972e-07,80.61217498779297,rice
POINT (121.1698995510897 15.93500494383296),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.1698995510897,
                15.935004943832956
              ]
            }
          }
        }
      }
    }
  }
})",121.1698995510897,15.935004943832956,0.32303693883370055,0.06455301204819278,-0.1465036728122327,-0.1710024235944801,0.1465036728122327,201.30012771392083,26.989783132530135,1.3918129582179972e-07,80.61217498779297,rice
POINT (121.010512958486 15.771955520019),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.01051295848602,
                15.771955520018999
              ]
            }
          }
        }
      }
    }
  }
})",121.01051295848602,15.771955520018999,0.2765473226583685,0.050717029449423814,-0.10341034942044779,-0.17006990573366565,0.10341034942044779,156.8455696202532,30.602412121212183,1.348285593351331e-07,80.24912495930991,rice
POINT (120.8646295049034 15.88152216859524),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                120.86462950490338,
                15.881522168595245
              ]
            }
          }
        }
      }
    }
  }
})",120.86462950490338,15.881522168595245,0.23749475103315404,0.04696092796092796,-0.02865118402882407,-0.22818163372265735,0.02865118402882407,161.90733590733592,32.17432234432238,5.159574456570226e-08,73.30690002441406,rice
POINT (120.8620845132646 15.815036012084),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                120.86208451326462,
                15.815036012084004
              ]
            }
          }
        }
      }
    }
  }
})",120.86208451326462,15.815036012084004,0.26569538453008934,0.05093228536880291,-0.03866238186556391,-0.2376337467280459,0.03866238186556391,160.0,31.713748488512692,5.159574456570226e-08,73.30690002441406,rice
POINT (120.9904404228749 15.75313180081387),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                120.99044042287488,
                15.753131800813872
              ]
            }
          }
        }
      }
    }
  }
})",120.99044042287488,15.753131800813872,0.38233031180818017,0.07004463208685163,-0.19177715584863467,-0.16871185464337662,0.19177715584863467,148.2233502538071,27.35579010856452,5.477242583784261e-08,73.50374672294957,rice
POINT (121.1661437634495 15.63482667171094),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.16614376344954,
                15.634826671710945
              ]
            }
          }
        }
      }
    }
  }
})",121.16614376344954,15.634826671710945,0.2793988875661405,0.04997323600973237,-0.12129762082888532,-0.14966033140739332,0.12129762082888532,208.98850574712642,29.10587591240875,3.4715026231424417e-07,77.65122985839844,rice
POINT (121.1047594622162 15.78597218780054),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.10475946221624,
                15.785972187800535
              ]
            }
          }
        }
      }
    }
  }
})",121.10475946221624,15.785972187800535,0.3078292039228919,0.08120449029126213,-0.15064846998151155,-0.14776912438831472,0.15064846998151155,114.90909090909092,27.699162621359278,1.3918129582179972e-07,80.61217498779297,rice
POINT (121.2401347161073 15.68392248925727),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.24013471610735,
                15.683922489257272
              ]
            }
          }
        }
      }
    }
  }
})",121.24013471610735,15.683922489257272,0.349361047770245,0.08458149509803921,-0.18364218352235304,-0.1511485379307272,0.18364218352235304,220.51612903225805,25.914779411764698,2.4155687511068325e-06,79.61885014702291,rice
POINT (120.906615877627 15.89993914242643),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                120.90661587762698,
                15.899939142426426
              ]
            }
          }
        }
      }
    }
  }
})",120.90661587762698,15.899939142426426,0.26407125134469484,0.047590799031477005,-0.052859253482892624,-0.22456456315520862,0.052859253482892624,184.02046035805625,32.25406779661023,5.159574456570226e-08,73.30690002441406,rice
POINT (120.9438891330049 15.43901529308612),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                120.94388913300489,
                15.439015293086122
              ]
            }
          }
        }
      }
    }
  }
})",120.94388913300489,15.439015293086122,0.2429927751482241,0.039801329394387,-0.1094303563910268,-0.1223725236487147,0.1094303563910268,193.53846153846146,30.532442002441996,7.061855455958721e-08,77.59701538085938,rice
POINT (121.1888631489464 15.49678473000883),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                121.1888631489464,
                15.496784730008832
              ]
            }
          }
        }
      }
    }
  }
})",121.1888631489464,15.496784730008832,0.29827857383565975,0.0654775212636695,-0.12351180744151788,-0.18191577220492694,0.12351180744151788,177.68860759493674,26.553936816524924,2.8741202569679613e-07,79.16411932647446,rice
